6332 0.0145781
0.588395 0.446681 0.429501
0.6104 0.436828 0.433047
0.61841 0.444179 0.41794
0.643565 0.439116 0.428435
0.650646 0.434961 0.417992
0.667003 0.448643 0.430277
0.691976 0.442148 0.430353
0.709509 0.439513 0.420256
0.728393 0.434415 0.428862
0.744329 0.444427 0.419052
0.765698 0.439505 0.416705
0.769832 0.440169 0.421745
0.79142 0.443557 0.42312
0.185087 0.454234 0.421458
0.210991 0.463061 0.430481
0.217215 0.460212 0.427529
0.245884 0.45111 0.41896
0.266554 0.463292 0.423785
0.268116 0.456291 0.427056
0.287343 0.461903 0.427723
0.316052 0.465869 0.416668
0.324203 0.462898 0.420856
0.344248 0.451885 0.429701
0.358091 0.456565 0.420879
0.374239 0.464956 0.418106
